4FGL Name, NS, NS_BIN, HMXB, LMXB, AGN, CV, YSO, HM-STAR, LM-STAR, gamma-candidate, coverage (%)
J0039.7+4203,2/0,0/0,0/0,0/0,9/9,0/0,0/0,0/0,0/0,7A 1N,100
J0040.2--2725,1/0,0/0,0/0,0/0,5/5,0/0,0/0,0/0,1/1,5A  1N,100
J0132.9--4259,6/0,2/0,0/0,0/0,14/12,0/0,0/0,0/0,0/0,11A 2N 2B,44
J0333.4--2705,5/0,1/0,0/0,0/0,17/13,0/0,0/0,0/0,0/0,12A 4N 1B,90
J0439.9--0535,1/0,0/0,0/0,0/0,4/3,0/0,0/0,0/0,0/0,3A 1N,97
J0535.3+0934,2/0,0/0,0/0,0/0,5/5,1/0,0/0,0/0,6/6,5A  1N,90
J0535.1--5422,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,44
J0537.5+0959,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,22
J0558.7--4957,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,4
J0616.5+2235,2/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,2N,100
J0639.1--8009,8/0,0/0,0/0,0/0,22/17,2/1,0/0,0/0,1/0,18A  6N,62
J0640.4+3307,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,22
J0737.4+6535,10/3,0/0,0/0,1/0,4/4,0/0,0/0,0/0,1/0,2A  6N,100
J0826.1--5053,4/0,0/0,0/0,0/0,1/0,0/0,0/0,0/0,2/1,1A 1N,100
J0847.8--4138,6/0,0/0,0/0,1/0,0/0,0/0,4/3,0/0,13/9,5N,96
J0848.2--4527,27/17,0/0,0/0,1/0,0/0,2/0,0/0,0/0,7/5,25N,100
J0854.9--4426,1/0,0/0,0/0,0/0,0/0,0/0,1/1,0/0,2/2,1N,95
J1018.1--4051,0/0,0/0,0/0,0/0,1/1,0/0,0/0,0/0,0/0,1A,22
J1024.5--4543,0/0,0/0,0/0,0/0,3/2,0/0,0/0,0/0,0/0,3A,100
